File,Label
8C7M_C_D_B_1.pdb,2
8C7M_C_D_B_2.pdb,2
8C7M_C_D_B_3.pdb,2
8C7M_C_D_B_4.pdb,2
8C7M_C_D_B_5.pdb,2
8C7M_C_D_B_6.pdb,2
8C7M_C_D_B_7.pdb,2
8C7M_C_D_B_8.pdb,2
8C7M_C_D_B_9.pdb,2
8C7M_C_D_B_10.pdb,2
8C7M_C_D_B_11.pdb,2
8C7M_C_D_B_12.pdb,2
8C7M_C_D_B_13.pdb,2
8C7M_C_D_B_14.pdb,2
8C7M_C_D_B_15.pdb,2
8C7M_C_D_B_16.pdb,2
8C7M_C_D_B_17.pdb,2
8C7M_C_D_B_18.pdb,2
8C7M_C_D_B_19.pdb,2
8C7M_C_D_B_20.pdb,2
8C7M_C_D_B_21.pdb,2
8C7M_C_D_B_22.pdb,2
8C7M_C_D_B_23.pdb,2
8C7M_C_D_B_24.pdb,2
8C7M_C_D_B_25.pdb,2
8C7M_C_D_B_26.pdb,2
8C7M_C_D_B_27.pdb,2
8C7M_C_D_B_28.pdb,2
8C7M_C_D_B_29.pdb,2
8C7M_C_D_B_30.pdb,2
8C7M_C_D_B_31.pdb,2
8C7M_C_D_B_32.pdb,2
8C7M_C_D_B_33.pdb,2
8C7M_C_D_B_34.pdb,2
8C7M_C_D_B_35.pdb,2
8C7M_C_D_B_36.pdb,2
8C7M_C_D_B_37.pdb,2
8C7M_C_D_B_38.pdb,2
8C7M_C_D_B_39.pdb,2
8C7M_C_D_B_40.pdb,2
8C7M_C_D_B_41.pdb,2
8C7M_C_D_B_42.pdb,2
8C7M_C_D_B_43.pdb,2
8C7M_C_D_B_44.pdb,2
8C7M_C_D_B_45.pdb,2
8C7M_C_D_B_46.pdb,2
8C7M_C_D_B_47.pdb,2
8C7M_C_D_B_48.pdb,2
8C7M_C_D_B_49.pdb,2
8C7M_C_D_B_50.pdb,2
8C7M_C_D_B_51.pdb,2
8C7M_C_D_B_52.pdb,2
8C7M_C_D_B_53.pdb,2
8C7M_C_D_B_54.pdb,2
8C7M_C_D_B_55.pdb,2
8C7M_C_D_B_56.pdb,2
8C7M_C_D_B_57.pdb,2
8C7M_C_D_B_58.pdb,2
8C7M_C_D_B_59.pdb,2
8C7M_C_D_B_60.pdb,2
8C7M_C_D_B_61.pdb,2
8C7M_C_D_B_62.pdb,2
8C7M_C_D_B_63.pdb,2
8C7M_C_D_B_64.pdb,2
8C7M_C_D_B_65.pdb,2
8C7M_C_D_B_66.pdb,2
8C7M_C_D_B_67.pdb,2
8C7M_C_D_B_68.pdb,2
8C7M_C_D_B_69.pdb,2
8C7M_C_D_B_70.pdb,2
8C7M_C_D_B_71.pdb,2
8C7M_C_D_B_72.pdb,2
8C7M_C_D_B_73.pdb,2
8C7M_C_D_B_74.pdb,2
8C7M_C_D_B_75.pdb,2
8C7M_C_D_B_76.pdb,2
8C7M_C_D_B_77.pdb,2
8C7M_C_D_B_78.pdb,2
8C7M_C_D_B_79.pdb,2
8C7M_C_D_B_80.pdb,2
8C7M_C_D_B_81.pdb,2
8C7M_C_D_B_82.pdb,2
8C7M_C_D_B_83.pdb,2
8C7M_C_D_B_84.pdb,2
8C7M_C_D_B_85.pdb,2
8C7M_C_D_B_86.pdb,2
8C7M_C_D_B_87.pdb,2
8C7M_C_D_B_88.pdb,2
8C7M_C_D_B_89.pdb,2
8C7M_C_D_B_90.pdb,2
8C7M_C_D_B_91.pdb,2
8C7M_C_D_B_92.pdb,2
8C7M_C_D_B_93.pdb,2
8C7M_C_D_B_94.pdb,2
8C7M_C_D_B_95.pdb,2
8C7M_C_D_B_96.pdb,2
8C7M_C_D_B_97.pdb,2
8C7M_C_D_B_98.pdb,2
8C7M_C_D_B_99.pdb,2
8C7M_C_D_B_100.pdb,2
