File,Label
6U54_1.pdb,2
6U54_2.pdb,2
6U54_3.pdb,2
6U54_4.pdb,2
6U54_5.pdb,2
6U54_6.pdb,2
6U54_7.pdb,2
6U54_8.pdb,2
6U54_9.pdb,2
6U54_10.pdb,2
6U54_11.pdb,2
6U54_12.pdb,2
6U54_13.pdb,2
6U54_14.pdb,2
6U54_15.pdb,2
6U54_16.pdb,2
6U54_17.pdb,2
6U54_18.pdb,2
6U54_19.pdb,2
6U54_20.pdb,2
6U54_21.pdb,2
6U54_22.pdb,2
6U54_23.pdb,2
6U54_24.pdb,2
6U54_25.pdb,2
6U54_26.pdb,2
6U54_27.pdb,2
6U54_28.pdb,2
6U54_29.pdb,2
6U54_30.pdb,2
6U54_31.pdb,2
6U54_32.pdb,2
6U54_33.pdb,2
6U54_34.pdb,2
6U54_35.pdb,2
6U54_36.pdb,2
6U54_37.pdb,2
6U54_38.pdb,2
6U54_39.pdb,2
6U54_40.pdb,2
6U54_41.pdb,2
6U54_42.pdb,2
6U54_43.pdb,2
6U54_44.pdb,2
6U54_45.pdb,2
6U54_46.pdb,2
6U54_47.pdb,2
6U54_48.pdb,2
6U54_49.pdb,2
6U54_50.pdb,2
