File,Label
8ELN_L_#_IJ_1.pdb,2
8ELN_L_#_IJ_2.pdb,2
8ELN_L_#_IJ_3.pdb,2
8ELN_L_#_IJ_4.pdb,2
8ELN_L_#_IJ_5.pdb,2
8ELN_L_#_IJ_6.pdb,2
8ELN_L_#_IJ_7.pdb,2
8ELN_L_#_IJ_8.pdb,2
8ELN_L_#_IJ_9.pdb,2
8ELN_L_#_IJ_10.pdb,2
8ELN_L_#_IJ_11.pdb,2
8ELN_L_#_IJ_12.pdb,2
8ELN_L_#_IJ_13.pdb,2
8ELN_L_#_IJ_14.pdb,2
8ELN_L_#_IJ_15.pdb,2
8ELN_L_#_IJ_16.pdb,2
8ELN_L_#_IJ_17.pdb,2
8ELN_L_#_IJ_18.pdb,2
8ELN_L_#_IJ_19.pdb,2
8ELN_L_#_IJ_20.pdb,2
8ELN_L_#_IJ_21.pdb,2
8ELN_L_#_IJ_22.pdb,2
8ELN_L_#_IJ_23.pdb,2
8ELN_L_#_IJ_24.pdb,2
8ELN_L_#_IJ_25.pdb,2
8ELN_L_#_IJ_26.pdb,2
8ELN_L_#_IJ_27.pdb,2
8ELN_L_#_IJ_28.pdb,2
8ELN_L_#_IJ_29.pdb,2
8ELN_L_#_IJ_30.pdb,2
8ELN_L_#_IJ_31.pdb,2
8ELN_L_#_IJ_32.pdb,2
8ELN_L_#_IJ_33.pdb,2
8ELN_L_#_IJ_34.pdb,2
8ELN_L_#_IJ_35.pdb,2
8ELN_L_#_IJ_36.pdb,2
8ELN_L_#_IJ_37.pdb,2
8ELN_L_#_IJ_38.pdb,2
8ELN_L_#_IJ_39.pdb,2
8ELN_L_#_IJ_40.pdb,2
8ELN_L_#_IJ_41.pdb,2
8ELN_L_#_IJ_42.pdb,2
8ELN_L_#_IJ_43.pdb,2
8ELN_L_#_IJ_44.pdb,2
8ELN_L_#_IJ_45.pdb,2
8ELN_L_#_IJ_46.pdb,2
8ELN_L_#_IJ_47.pdb,2
8ELN_L_#_IJ_48.pdb,2
8ELN_L_#_IJ_49.pdb,2
8ELN_L_#_IJ_50.pdb,2
8ELN_L_#_IJ_51.pdb,2
8ELN_L_#_IJ_52.pdb,2
8ELN_L_#_IJ_53.pdb,2
8ELN_L_#_IJ_54.pdb,2
8ELN_L_#_IJ_55.pdb,2
8ELN_L_#_IJ_56.pdb,2
8ELN_L_#_IJ_57.pdb,2
8ELN_L_#_IJ_58.pdb,2
8ELN_L_#_IJ_59.pdb,2
8ELN_L_#_IJ_60.pdb,2
8ELN_L_#_IJ_61.pdb,2
8ELN_L_#_IJ_62.pdb,2
8ELN_L_#_IJ_63.pdb,2
8ELN_L_#_IJ_64.pdb,2
8ELN_L_#_IJ_65.pdb,2
8ELN_L_#_IJ_66.pdb,2
8ELN_L_#_IJ_67.pdb,2
8ELN_L_#_IJ_68.pdb,2
8ELN_L_#_IJ_69.pdb,2
8ELN_L_#_IJ_70.pdb,2
8ELN_L_#_IJ_71.pdb,2
8ELN_L_#_IJ_72.pdb,2
8ELN_L_#_IJ_73.pdb,2
8ELN_L_#_IJ_74.pdb,2
8ELN_L_#_IJ_75.pdb,2
8ELN_L_#_IJ_76.pdb,2
8ELN_L_#_IJ_77.pdb,2
8ELN_L_#_IJ_78.pdb,2
8ELN_L_#_IJ_79.pdb,2
8ELN_L_#_IJ_80.pdb,2
8ELN_L_#_IJ_81.pdb,2
8ELN_L_#_IJ_82.pdb,2
8ELN_L_#_IJ_83.pdb,2
8ELN_L_#_IJ_84.pdb,2
8ELN_L_#_IJ_85.pdb,2
8ELN_L_#_IJ_86.pdb,2
8ELN_L_#_IJ_87.pdb,2
8ELN_L_#_IJ_88.pdb,2
8ELN_L_#_IJ_89.pdb,2
8ELN_L_#_IJ_90.pdb,2
8ELN_L_#_IJ_91.pdb,2
8ELN_L_#_IJ_92.pdb,2
8ELN_L_#_IJ_93.pdb,2
8ELN_L_#_IJ_94.pdb,2
8ELN_L_#_IJ_95.pdb,2
8ELN_L_#_IJ_96.pdb,2
8ELN_L_#_IJ_97.pdb,2
8ELN_L_#_IJ_98.pdb,2
8ELN_L_#_IJ_99.pdb,2
8ELN_L_#_IJ_100.pdb,2
