File,Label
7T73_1.pdb,2
7T73_2.pdb,2
7T73_3.pdb,2
7T73_4.pdb,2
7T73_5.pdb,2
7T73_6.pdb,2
7T73_7.pdb,2
7T73_8.pdb,2
7T73_9.pdb,2
7T73_10.pdb,2
7T73_11.pdb,2
7T73_12.pdb,2
7T73_13.pdb,2
7T73_14.pdb,2
7T73_15.pdb,2
7T73_16.pdb,2
7T73_17.pdb,2
7T73_18.pdb,2
7T73_19.pdb,2
7T73_20.pdb,2
7T73_21.pdb,2
7T73_22.pdb,2
7T73_23.pdb,2
7T73_24.pdb,2
7T73_25.pdb,2
7T73_26.pdb,2
7T73_27.pdb,2
7T73_28.pdb,2
7T73_29.pdb,2
7T73_30.pdb,2
7T73_31.pdb,2
7T73_32.pdb,2
7T73_33.pdb,2
7T73_34.pdb,2
7T73_35.pdb,2
7T73_36.pdb,2
7T73_37.pdb,2
7T73_38.pdb,2
7T73_39.pdb,2
7T73_40.pdb,2
7T73_41.pdb,2
7T73_42.pdb,2
7T73_43.pdb,2
7T73_44.pdb,2
7T73_45.pdb,2
7T73_46.pdb,2
7T73_47.pdb,2
7T73_48.pdb,2
7T73_49.pdb,2
7T73_50.pdb,2
